Address,TotalPrice,City,Cust First Name,Cust Full Name,Cust Last Name,CustNum (Orders),Cust Num,Date of Purchase,Number of Records,Order Num,Phone,Price,Product Category,Product Name,Quantity,SKU (Products),SKU,State,ZIP Code
839 Pepper Wood Street,13.3,El Paso,Leslie,Leslie Pace,Pace,79,79,14-02-2017,1,17,(623) 686-1821,1.9,Lightbulbs,K-Eco Energy Bulbs 20W (4-pack),7,KE20W04,KE20W04,Texas,88563
423 Kenwood Park,3696,Temple,Shay,Shay Davidson,Davidson,60,60,16-02-2017,1,18,(934) 777-4129,231,Wind harvester,K-Eco Blast 1200,16,KEBL1200,KEBL1200,Texas,76505
229 Golden Leaf Road,1327.5,Gadsden,Jerry,Jerry Gill,Gill,27,27,18-02-2017,1,19,(491) 955-1047,88.5,Solar panels,K-Eco 250,15,KE250,KE250,Alabama,35905
1 Springview Circle,28.26,Helena,Kenneth,Kenneth Potts,Potts,57,57,23-02-2017,1,20,(976) 544-1168,3.14,Lightbulbs,K-Eco Energy Bulbs 9W  (8-pack),9,KE9W08,KE9W08,Montana,59623
25 Green Plaza,8939,Davenport,Quail,Quail Vance,Vance,39,39,24-02-2017,1,21,(229) 484-5107,638.5,Grid Tie Inverters,K-Invert 2K,14,KI2K,KI2K,Iowa,52804
419 Tennyson Court,52.2,San Luis Obispo,Melyssa,Melyssa Gates,Gates,38,38,25-02-2017,1,22,(263) 976-2589,3.48,Solar panels,K-Eco phone charger,15,KE001,KE001,California,93407
9 Roth Place,77.44,Dayton,Shafira,Shafira Bennett,Bennett,72,72,27-02-2017,1,23,(279) 911-0843,4.84,Lightbulbs,K-Eco Energy Bulbs 23W  (8-pack),16,KE23W08,KE23W08,Ohio,45454
100 Bunting Drive,9.04,Washington,Quentin,Quentin Marshall,Marshall,100,100,06-03-2017,1,24,(203) 755-9348,2.26,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,4,KEPATH01,KEPATH01,District of Columbia,20557
6755 Burrows Center,44.73,Columbus,Rose,Rose Holcomb,Holcomb,40,40,07-03-2017,1,25,(129) 823-5800,6.39,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),7,KEPATH04,KEPATH04,Georgia,31914
2 Nevada Junction,77.48,Pittsburgh,Zephr,Zephr Mcgee,Mcgee,44,44,11-03-2017,1,26,(708) 764-4578,5.96,Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),13,KE23W04,KE23W04,Pennsylvania,15235
2 Farragut Crossing,24968,Anchorage,Sade,Sade Santiago,Santiago,14,14,15-03-2017,1,27,(497) 492-4618,3121,Batteries,K-Eco 18-volt Lithium-ion solar backup battery,8,KE18Li,KE18Li,Alaska,99512
4829 Badeau Parkway,25.56,Chattanooga,Sydney,Sydney Bartlett,Bartlett,2,2,16-03-2017,1,28,(982) 231-7357,6.39,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),4,KEPATH04,KEPATH04,Tennessee,37405
86432 Westridge Alley,47672,Wichita,Anastasia,Anastasia Owens,Owens,43,43,16-03-2017,1,29,(423) 401-3016,5959,Grid Tie Inverters,K-Invert 13K,8,KI13K,KI13K,Kansas,67230
87 Brentwood Park,9840,Dallas,Brooke,Brooke Perkins,Perkins,4,4,16-03-2017,1,30,(340) 732-9367,820,Grid Tie Inverters,K-Invert 4K,12,KI4K,KI4K,Texas,75358
95567 Browning Crossing,3.14,Vero Beach,Hadley,Hadley Sosa,Sosa,63,63,21-03-2017,1,31,(222) 150-9436,3.14,Lightbulbs,K-Eco Energy Bulbs 9W  (8-pack),1,KE9W08,KE9W08,Florida,32964
5204 Beilfuss Place,83.44,Columbus,Shellie,Shellie Velez,Velez,22,22,28-03-2017,1,32,(197) 282-8671,5.96,Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),14,KE23W04,KE23W04,Ohio,43204
7468 Talmadge Junction,6.22,Baltimore,Laith,Laith Jordan,Jordan,48,48,29-03-2017,1,33,(868) 659-6715,3.11,Batteries,K-Eco  AAA NiMH rechargeable batteries (12-pack),2,KEAAA12,KEAAA12,Maryland,21275
7271 Ramsey Way,292.82,Washington,Gray,Gray Gutierrez,Gutierrez,87,87,29-03-2017,1,34,(496) 849-2265,26.62,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),11,KEPATH12,KEPATH12,District of Columbia,20420
710 Old Gate Circle,1548.36,Chicago,Amery,Amery Washington,Washington,34,34,01-04-2017,1,35,(191) 476-0002,140.76,Solar panels,K-Eco 575,11,KE575,KE575,Illinois,60641
8 Delaware Hill,53.64,Garden Grove,Nicole,Nicole Mcconnell,Mcconnell,98,98,01-04-2017,1,36,(892) 616-0264,5.96,Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),9,KE23W04,KE23W04,California,92844
87 Brentwood Park,54.04,Dallas,Brooke,Brooke Perkins,Perkins,4,4,02-04-2017,1,37,(340) 732-9367,3.86,Batteries,K-Eco AA  NiMH rechargeable batteries (6-pack),14,KEAA06,KEAA06,Texas,75358
99 Hanson Way,29.8,Richmond,Kaden,Kaden Sharpe,Sharpe,71,71,05-04-2017,1,38,(246) 987-2818,5.96,Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),5,KE23W04,KE23W04,Virginia,23242
68316 Emmet Trail,689.36,San Diego,Jael,Jael Rice,Rice,42,42,08-04-2017,1,39,(394) 444-6027,86.17,Solar panels,K-Eco 180,8,KE180,KE180,California,92153
7746 Mitchell Point,40.43,New Haven,Merrill,Merrill Freeman,Freeman,12,12,09-04-2017,1,40,(838) 734-1768,3.11,Batteries,K-Eco  AAA NiMH rechargeable batteries (12-pack),13,KEAAA12,KEAAA12,Connecticut,06510
22577 Starling Lane,211.44,Chicago,Adena,Adena Jenkins,Jenkins,55,55,13-04-2017,1,41,(342) 731-9079,70.48,Wind harvester,K-Eco Blast 200,3,KEBL200,KEBL200,Illinois,60604
4276 Hallows Terrace,95.36,San Antonio,Mollie,Mollie Meyers,Meyers,50,50,16-04-2017,1,42,(309) 329-9140,5.96,Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),16,KE23W04,KE23W04,Texas,78260
1876 Petterle Court,109.8,Brea,Hedy,Hedy Vang,Vang,86,86,17-04-2017,1,43,(383) 134-3234,6.1,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),18,KEPATH08,KEPATH08,California,92822
22278 Waubesa Road,11.3,Birmingham,Chastity,Chastity Charles,Charles,78,78,18-04-2017,1,44,(186) 176-2590,2.26,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,5,KEPATH01,KEPATH01,Alabama,35225
718 Lakewood Parkway,43.56,Appleton,Kamal,Kamal Newton,Newton,99,99,19-04-2017,1,45,(704) 685-9968,4.84,Lightbulbs,K-Eco Energy Bulbs 23W  (8-pack),9,KE23W08,KE23W08,Wisconsin,54915
9843 Graceland Point,2533.68,Lansing,Dorian,Dorian Dale,Dale,21,21,23-04-2017,1,46,(311) 929-6026,140.76,Solar panels,K-Eco 575,18,KE575,KE575,Michigan,48930
33837 Independence Place,27.12,Oklahoma City,Jenna,Jenna Hendricks,Hendricks,84,84,30-04-2017,1,47,(840) 746-9696,2.26,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,12,KEPATH01,KEPATH01,Oklahoma,73124
40 Lighthouse Bay Circle,300,Saint Petersburg,Benjamin,Benjamin Miranda,Miranda,17,17,01-05-2017,1,48,(992) 329-4925,30,Wind harvester,K-Eco Breeze Mini,10,KEBR5,KEBR5,Florida,33731
58034 Nelson Street,488.25,Washington,Philip,Philip Ware,Ware,29,29,06-05-2017,1,49,(615) 720-3672,69.75,Solar panels,K-Eco 275,7,KE275,KE275,District of Columbia,20036
8 Gerald Point,40440,Orlando,Malik,Malik Faulkner,Faulkner,16,16,14-05-2017,1,50,(186) 520-2519,4044,Batteries,K-Eco 48-volt Lithium-ion solar backup battery,10,KE48Li,KE48Li,Florida,32858
30 Onsgard Crossing,14.86,Los Angeles,Serena,Serena Malone,Malone,96,96,15-05-2017,1,51,(137) 440-1643,7.43,Lightbulbs,K-Eco Energy Bulbs 20W  (8-pack),2,KE20W08,KE20W08,California,90040
4276 Hallows Terrace,3121,San Antonio,Mollie,Mollie Meyers,Meyers,50,50,16-05-2017,1,52,(309) 329-9140,3121,Batteries,K-Eco 18-volt Lithium-ion solar backup battery,1,KE18Li,KE18Li,Texas,78260
556 Lakewood Park,42,Bismarck,Cally,Cally Reynolds,Reynolds,1,1,16-05-2017,1,53,(901) 166-8355,3,Lightbulbs,K-Eco Energy Bulbs 13W  (8-pack),14,KE13W08,KE13W08,North Dakota,58505
30 Gulseth Junction,34.54,San Francisco,Ayanna,Ayanna Foreman,Foreman,41,41,17-05-2017,1,54,(146) 146-9356,3.14,Lightbulbs,K-Eco Energy Bulbs 9W  (8-pack),11,KE9W08,KE9W08,California,94154
609 Everett Avenue,5888.3,Des Moines,Francesca,Francesca Hodges,Hodges,32,32,19-05-2017,1,55,(324) 686-7614,535.3,Solar panels,"K-Eco 325x (same power, smaller footprint)",11,KE325X,KE325X,Iowa,50330
423 Kenwood Park,61,Temple,Shay,Shay Davidson,Davidson,60,60,24-05-2017,1,56,(934) 777-4129,6.1,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),10,KEPATH08,KEPATH08,Texas,76505
4829 Badeau Parkway,59.16,Chattanooga,Sydney,Sydney Bartlett,Bartlett,2,2,25-05-2017,1,57,(982) 231-7357,3.48,Solar panels,K-Eco phone charger,17,KE001,KE001,Tennessee,37405
86073 Sloan Way,1963.52,Pueblo,Sasha,Sasha King,King,56,56,30-05-2017,1,58,(733) 104-5058,245.44,Wind harvester,K-Eco Blast 400,8,KEBL400,KEBL400,Colorado,81015
52 Sachtjen Avenue,31.8,Tampa,Calvin,Calvin Henry,Henry,46,46,06-06-2017,1,59,(327) 821-0113,2.65,Batteries,K-Eco  AAA NiMH rechargeable batteries  (6-pack),12,KEAAA06,KEAAA06,Florida,33661
32174 Ridge Oak Plaza,43.56,San Francisco,Mona,Mona Matthews,Matthews,83,83,07-06-2017,1,60,(723) 808-1834,4.84,Lightbulbs,K-Eco Energy Bulbs 23W  (8-pack),9,KE23W08,KE23W08,California,94177
39464 Debra Lane,13.23,Young America,Nash,Nash Vasquez,Vasquez,8,8,08-06-2017,1,61,(989) 937-6199,1.47,Lightbulbs,K-Eco Energy Bulbs 9W,9,KE9W,KE9W,Minnesota,55557
2 Namekagon Trail,10514,Trenton,Judith,Judith Leonard,Leonard,15,15,10-06-2017,1,62,(549) 439-1744,751,Batteries,K-Eco 36-volt Lithium-ion solar backup battery,14,KE36Li,KE36Li,New Jersey,08619
0864 Bluestem Center,4505.85,Sacramento,Barrett,Barrett Howell,Howell,35,35,10-06-2017,1,63,(538) 115-5665,901.17,Solar panels,K-Eco 625,5,KE625,KE625,California,95823
96 Eliot Way,23.84,Fresno,Brody,Brody Love,Love,82,82,17-06-2017,1,64,(360) 338-4848,5.96,Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),4,KE23W04,KE23W04,California,93715
282 Acker Terrace,216.04,Winston Salem,Cailin,Cailin Alford,Alford,88,88,19-06-2017,1,65,(368) 400-8301,108.02,Wind harvester,K-Eco Blast 100,2,KEBL100,KEBL100,North Carolina,27157
4829 Badeau Parkway,1009.56,Chattanooga,Sydney,Sydney Bartlett,Bartlett,2,2,25-06-2017,1,66,(982) 231-7357,84.13,Solar panels,K-Eco 450,12,KE450,KE450,Tennessee,37405
1876 Petterle Court,118.08,Brea,Hedy,Hedy Vang,Vang,86,86,28-06-2017,1,67,(383) 134-3234,6.56,Batteries,K-Eco AA  NiMH rechargeable batteries (12-pack),18,KEAA12,KEAA12,California,92822
839 Pepper Wood Street,52.01,El Paso,Leslie,Leslie Pace,Pace,79,79,01-07-2017,1,68,(623) 686-1821,7.43,Lightbulbs,K-Eco Energy Bulbs 20W  (8-pack),7,KE20W08,KE20W08,Texas,88563
88 Burning Wood Junction,782.04,Anaheim,Adara,Adara Langley,Langley,26,26,02-07-2017,1,69,(696) 810-8990,65.17,Solar panels,K-Eco 225,12,KE225,KE225,California,92812
7316 Dryden Road,18.55,Memphis,Coby,Coby Lucas,Lucas,11,11,09-07-2017,1,70,(177) 816-3420,2.65,Batteries,K-Eco  AAA NiMH rechargeable batteries  (6-pack),7,KEAAA06,KEAAA06,Tennessee,38114
39464 Debra Lane,102668,Young America,Nash,Nash Vasquez,Vasquez,8,8,11-07-2017,1,71,(989) 937-6199,25667,Grid Tie Inverters,K-Invert 20K,4,KI20K,KI20K,Minnesota,55557
3409 Oriole Point,504.63,Peoria,Iliana,Iliana Hester,Hester,31,31,13-07-2017,1,72,(716) 866-7734,72.09,Solar panels,K-Eco 325,7,KE325,KE325,Illinois,61629
6502 Montana Junction,1056,New Orleans,Arden,Arden Bennett,Bennett,28,28,17-07-2017,1,73,(959) 194-1875,66,Solar panels,"K-Eco 250x (same power, smaller footprint)",16,KE250X,KE250X,Louisiana,70174
5 Melvin Street,29.15,New York City,Nasim,Nasim Sheppard,Sheppard,80,80,18-07-2017,1,74,(930) 295-6752,2.65,Batteries,K-Eco  AAA NiMH rechargeable batteries  (6-pack),11,KEAAA06,KEAAA06,New York,10039
89318 Heffernan Crossing,117.3,Santa Barbara,Wynter,Wynter Roberts,Roberts,37,37,24-07-2017,1,75,(721) 262-6519,19.55,Solar panels,K-Eco Mini,6,KE5,KE5,California,93150
2 Nevada Junction,154002,Pittsburgh,Zephr,Zephr Mcgee,Mcgee,44,44,24-07-2017,1,76,(708) 764-4578,25667,Grid Tie Inverters,K-Invert 20K,6,KI20K,KI20K,Pennsylvania,15235
22 Superior Way,3,Boston,Graham,Graham Frederick,Frederick,77,77,25-07-2017,1,77,(707) 474-5854,3,Lightbulbs,K-Eco Energy Bulbs 13W  (8-pack),1,KE13W08,KE13W08,Massachusetts,02203
5733 Walton Center,864.16,Jamaica,Astra,Astra Edwards,Edwards,54,54,26-07-2017,1,78,(177) 600-1729,108.02,Wind harvester,K-Eco Blast 100,8,KEBL100,KEBL100,New York,11470
52 Sachtjen Avenue,30.88,Tampa,Calvin,Calvin Henry,Henry,46,46,27-07-2017,1,79,(327) 821-0113,3.86,Batteries,K-Eco AA  NiMH rechargeable batteries (6-pack),8,KEAA06,KEAA06,Florida,33661
22278 Waubesa Road,7494.2,Birmingham,Chastity,Chastity Charles,Charles,78,78,29-07-2017,1,80,(186) 176-2590,535.3,Solar panels,"K-Eco 325x (same power, smaller footprint)",14,KE325X,KE325X,Alabama,35225
6 Carioca Crossing,245.44,Arvada,Derek,Derek Conrad,Conrad,90,90,03-08-2017,1,81,(275) 477-2907,245.44,Wind harvester,K-Eco Blast 400,1,KEBL400,KEBL400,Colorado,80005
62597 Lighthouse Bay Drive,70.29,Port Charlotte,Eric,Eric Donaldson,Donaldson,74,74,03-08-2017,1,82,(714) 520-4254,6.39,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),11,KEPATH04,KEPATH04,Florida,33954
795 Troy Terrace,22.29,Atlanta,Kyle,Kyle Keith,Keith,69,69,08-08-2017,1,83,(578) 125-5684,7.43,Lightbulbs,K-Eco Energy Bulbs 20W  (8-pack),3,KE20W08,KE20W08,Georgia,31106
6 Jana Park,14853,San Antonio,Germaine,Germaine Green,Green,6,6,12-08-2017,1,84,(466) 455-4160,4951,Grid Tie Inverters,K-Invert 9K,3,KI9K,KI9K,Texas,78240
289 Porter Crossing,1504,Silver Spring,Lunea,Lunea Rios,Rios,36,36,23-08-2017,1,85,(311) 982-5690,376,Solar panels,K-Eco 700,4,KE700,KE700,Maryland,20918
2 Nevada Junction,40440,Pittsburgh,Zephr,Zephr Mcgee,Mcgee,44,44,25-08-2017,1,86,(708) 764-4578,4044,Batteries,K-Eco 48-volt Lithium-ion solar backup battery,10,KE48Li,KE48Li,Pennsylvania,15235
3627 Pine View Circle,4329,Cleveland,Debra,Debra Finley,Finley,59,59,25-08-2017,1,87,(542) 954-1230,481,Wind harvester,K-Eco Blast 800,9,KEBL800,KEBL800,Ohio,44118
8231 Crowley Crossing,19.3,Cincinnati,Michael,Michael Rutledge,Rutledge,9,9,26-08-2017,1,88,(366) 822-4574,3.86,Batteries,K-Eco AA  NiMH rechargeable batteries (6-pack),5,KEAA06,KEAA06,Ohio,45999
100 Bunting Drive,33.88,Washington,Quentin,Quentin Marshall,Marshall,100,100,30-08-2017,1,89,(203) 755-9348,4.84,Lightbulbs,K-Eco Energy Bulbs 23W  (8-pack),7,KE23W08,KE23W08,District of Columbia,20557
4 Manufacturers Pass,7.35,Greensboro,Kyla,Kyla Hebert,Hebert,61,61,30-08-2017,1,90,(715) 654-8147,1.47,Lightbulbs,K-Eco Energy Bulbs 9W,5,KE9W,KE9W,North Carolina,27499
3627 Pine View Circle,71.52,Cleveland,Debra,Debra Finley,Finley,59,59,31-08-2017,1,91,(542) 954-1230,5.96,Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),12,KE23W04,KE23W04,Ohio,44118
791 Cherokee Court,11.62,Merrifield,Molly,Molly Grant,Grant,65,65,02-09-2017,1,92,(689) 843-0460,1.66,Lightbulbs,K-Eco Energy Bulbs 13W (4-pack),7,KE13W04,KE13W04,Virginia,22119
7 Cottonwood Plaza,1180.44,Pensacola,Roanna,Roanna Acevedo,Acevedo,58,58,06-09-2017,1,93,(868) 464-7466,131.16,Wind harvester,K-Eco Blast 600,9,KEBL600,KEBL600,Florida,32505
6 Granby Drive,885,Topeka,Clementine,Clementine Oliver,Oliver,30,30,07-09-2017,1,94,(603) 332-7827,88.5,Solar panels,K-Eco 300,10,KE300,KE300,Kansas,66606
55617 Straubel Drive,29.72,Philadelphia,Eagan,Eagan Bray,Bray,97,97,08-09-2017,1,95,(529) 738-3373,7.43,Lightbulbs,K-Eco Energy Bulbs 20W  (8-pack),4,KE20W08,KE20W08,Pennsylvania,19146
181 Packers Way,14643,Boston,Rae,Rae Hawkins,Hawkins,13,13,13-09-2017,1,96,(484) 158-4493,813.5,Batteries,K-Eco 12-volt Lithium-ion solar backup battery,18,KE12Li,KE12Li,Massachusetts,02216
318 Park Meadow Hill,27.84,San Antonio,Melinda,Melinda Price,Price,91,91,16-09-2017,1,97,(748) 701-8010,3.48,Solar panels,K-Eco phone charger,8,KE001,KE001,Texas,78285
3849 Northport Parkway,1924,Appleton,Ronan,Ronan Mendez,Mendez,93,93,17-09-2017,1,98,(302) 847-0643,481,Wind harvester,K-Eco Blast 800,4,KEBL800,KEBL800,Wisconsin,54915
5204 Beilfuss Place,2703.51,Columbus,Shellie,Shellie Velez,Velez,22,22,28-09-2017,1,99,(197) 282-8671,901.17,Solar panels,K-Eco 625,3,KE625,KE625,Ohio,43204
400 Summit Lane,136.85,Brooklyn,Theodore,Theodore Brock,Brock,95,95,28-09-2017,1,100,(662) 476-0315,19.55,Solar panels,K-Eco Mini,7,KE5,KE5,New York,11210
78 Summer Ridge Alley,1261.95,Duluth,Lucas,Lucas Trevino,Trevino,20,20,29-09-2017,1,101,(176) 773-9482,84.13,Solar panels,K-Eco 450,15,KE450,KE450,Minnesota,55805
92 Northfield Terrace,775.53,Louisville,Rhonda,Rhonda Wilder,Wilder,23,23,01-10-2017,1,102,(653) 854-3876,86.17,Solar panels,K-Eco 180,9,KE180,KE180,Kentucky,40287
30 Gulseth Junction,26117,San Francisco,Ayanna,Ayanna Foreman,Foreman,41,41,03-10-2017,1,103,(146) 146-9356,2009,Grid Tie Inverters,K-Invert 7K,13,KI7K,KI7K,California,94154
68316 Emmet Trail,20.7,San Diego,Jael,Jael Rice,Rice,42,42,04-10-2017,1,104,(394) 444-6027,1.38,Lightbulbs,K-Eco Energy Bulbs 23W,15,KE23W,KE23W,California,92153
602 Sommers Parkway,1848,Norfolk,Brock,Brock Case,Case,94,94,05-10-2017,1,105,(544) 534-1984,231,Wind harvester,K-Eco Blast 1200,8,KEBL1200,KEBL1200,Virginia,23520
102 Fallview Terrace,9.66,Minneapolis,Chester,Chester Best,Best,70,70,08-10-2017,1,106,(608) 587-5791,1.38,Lightbulbs,K-Eco Energy Bulbs 23W,7,KE23W,KE23W,Minnesota,55441
92483 Doe Crossing Drive,111.52,Lansing,Guy,Guy Ochoa,Ochoa,10,10,10-10-2017,1,107,(720) 242-4596,6.56,Batteries,K-Eco AA  NiMH rechargeable batteries (12-pack),17,KEAA12,KEAA12,Michigan,48956
207 Bunting Street,22.8,Sioux City,Dustin,Dustin Daugherty,Daugherty,68,68,12-10-2017,1,108,(951) 720-1227,1.9,Lightbulbs,K-Eco Energy Bulbs 20W (4-pack),12,KE20W04,KE20W04,Iowa,51105
2 Hovde Plaza,79.3,Saint Paul,Indira,Indira Odom,Odom,75,75,12-10-2017,1,109,(714) 947-5101,6.1,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),13,KEPATH08,KEPATH08,Minnesota,55108
992 Haas Avenue,1620.3,San Diego,Rhona,Rhona Stanley,Stanley,18,18,13-10-2017,1,110,(237) 294-5071,108.02,Wind harvester,K-Eco Blast 100,15,KEBL100,KEBL100,California,92186
6625 Lukken Circle,916.24,Brooklyn,Amena,Amena Petersen,Petersen,19,19,17-10-2017,1,111,(383) 554-7219,70.48,Wind harvester,K-Eco Blast 200,13,KEBL200,KEBL200,New York,11205
1 Springview Circle,2454.4,Helena,Kenneth,Kenneth Potts,Potts,57,57,18-10-2017,1,112,(976) 544-1168,245.44,Wind harvester,K-Eco Blast 400,10,KEBL400,KEBL400,Montana,59623
3149 Kinsman Court,4.14,Winston Salem,Yoko,Yoko Travis,Travis,81,81,18-10-2017,1,113,(818) 864-3843,1.38,Lightbulbs,K-Eco Energy Bulbs 23W,3,KE23W,KE23W,North Carolina,27116
2 Rockefeller Avenue,5108,Waco,Hunter,Hunter Newton,Newton,3,3,18-10-2017,1,114,(831) 996-1240,638.5,Grid Tie Inverters,K-Invert 2K,8,KI2K,KI2K,Texas,76796
6755 Burrows Center,5740,Columbus,Rose,Rose Holcomb,Holcomb,40,40,18-10-2017,1,115,(129) 823-5800,820,Grid Tie Inverters,K-Invert 4K,7,KI4K,KI4K,Georgia,31914
318 Park Meadow Hill,981.76,San Antonio,Melinda,Melinda Price,Price,91,91,19-10-2017,1,116,(748) 701-8010,245.44,Wind harvester,K-Eco Blast 400,4,KEBL400,KEBL400,Texas,78285
4276 Hallows Terrace,13.23,San Antonio,Mollie,Mollie Meyers,Meyers,50,50,19-10-2017,1,117,(309) 329-9140,1.47,Lightbulbs,K-Eco Energy Bulbs 9W,9,KE9W,KE9W,Texas,78260
22278 Waubesa Road,41.76,Birmingham,Chastity,Chastity Charles,Charles,78,78,21-10-2017,1,118,(186) 176-2590,3.48,Solar panels,K-Eco phone charger,12,KE001,KE001,Alabama,35225
52509 Almo Lane,399.3,Raleigh,Savannah,Savannah Conner,Conner,76,76,21-10-2017,1,119,(361) 128-7285,26.62,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),15,KEPATH12,KEPATH12,North Carolina,27658
91955 Mosinee Parkway,1206.38,Indianapolis,Tyrone,Tyrone Powell,Powell,24,24,24-10-2017,1,120,(113) 724-9255,86.17,Solar panels,K-Eco 180,14,KE180,KE180,Indiana,46278
22278 Waubesa Road,22.78,Birmingham,Chastity,Chastity Charles,Charles,78,78,28-10-2017,1,121,(186) 176-2590,1.34,Lightbulbs,K-Eco Energy Bulbs 20W,17,KE20W,KE20W,Alabama,35225
62 Karstens Junction,18.55,Tulsa,Joshua,Joshua Delaney,Delaney,47,47,02-11-2017,1,122,(838) 282-2276,2.65,Batteries,K-Eco  AAA NiMH rechargeable batteries  (6-pack),7,KEAAA06,KEAAA06,Oklahoma,74141
62 Warner Place,3444,Washington,Raja,Raja Wells,Wells,25,25,09-11-2017,1,123,(244) 178-1821,246,Solar panels,K-Eco 200,14,KE200,KE200,District of Columbia,20525
